episode,total_reward,epsilon
1,-784.0458859056234,2.8136538644393463
2,-290.1129999756813,2.465067622518372
3,-269.06425938755274,2.159668060235691
4,-286.4227186739445,1.8921047389512065
5,-290.8254001736641,1.6576900909350434
6,-183.7559344470501,1.4523172956627206
7,-310.7395073771477,1.2622295820632106
8,-308.9016343355179,1.0970216512559319
9,-341.2966322004795,0.9420415517688259
10,-338.5845782160759,0.8057202108144824
11,-292.6791476085782,0.7030751757603594
12,-276.9262707233429,0.6184443036063142
13,-302.8315454274416,0.5418246531382154
14,-269.4524999856949,0.4766038993261366
15,-258.45590606331825,0.4192339265798113
16,-313.2719900608063,0.3687697172516358
17,-309.20718366652727,0.32308248773997644
18,-299.3010558709502,0.2830554923603586
19,-290.69901321828365,0.2479874793456699
20,-318.6341283619404,0.21726407567434192
21,-274.10661667585373,0.19111146945811952
22,-317.55367846786976,0.16743448851587583
23,-227.53796312212944,0.1478714770383972
24,-274.94499257206917,0.12955153970723252
25,-222.1786158978939,0.11395710518255292
26,-253.01881471276283,0.09983885149903
27,-278.8074154853821,0.08782100565760449
28,-312.30070362985134,0.07724977720509871
29,-294.96891137957573,0.06795103328130302
30,-264.50092589855194,0.05977160182271688
31,-308.4454049617052,0.0523664414665302
32,-274.93238966166973,0.04587871343988833
33,-295.4764009192586,0.040356180906259656
34,-203.914171397686,0.03564097296281673
35,-296.4499149620533,0.031225379068863853
36,-314.60711070150137,0.027466704100599357
37,-252.94115951657295,0.024160469997372924
38,-313.71741558611393,0.021252215349755764
39,-273.48840990662575,0.018694034400883148
40,-292.3545076549053,0.0164437879265805
41,-253.3585426211357,0.014464409103771647
42,-305.4630200266838,0.01272329293319823
43,-167.9848152399063,0.011372632413196191
44,-314.1877552270889,0.010003680936883199
45,-308.40750409662724,0.009963666213135667
46,-241.4858339726925,0.009963666213135667
47,-215.8775934278965,0.009963666213135667
48,-284.3135600090027,0.009963666213135667
49,-243.67843633890152,0.009963666213135667
50,-290.89073146134615,0.009963666213135667
51,-281.2566984668374,0.009963666213135667
52,-318.84673918783665,0.009963666213135667
53,-284.01018047332764,0.009963666213135667
54,-310.2173004746437,0.009963666213135667
55,-306.392620369792,0.009963666213135667
56,-298.4137559682131,0.009963666213135667
57,-237.09401029348373,0.009963666213135667
58,-225.68377501517534,0.009963666213135667
59,-305.12715028971434,0.009963666213135667
60,-297.15823429077864,0.009963666213135667
61,-287.9357508569956,0.009963666213135667
