episode,total_reward,epsilon
1,800.0,2.8136538644393463
2,-27.389679312705994,2.455207352028298
3,78.40168660879135,2.1424252704427693
4,145.00329744815826,1.8694901820165584
5,25.34774899482727,1.637877272876022
6,-100.27224898338318,1.4292192699710664
7,77.53396666049957,1.2521519410800177
8,-16.178300261497498,1.0970216512559319
9,3.924009084701538,0.9572661575536352
10,-64.43174171447754,0.8353148685337267
11,17.35278868675232,0.731826918390682
12,-105.94106769561768,0.6385955476449651
13,-122.89537048339844,0.5594793404687918
14,-119.4227705001831,0.49016491512624794
15,-17.953575372695923,0.42772016790490824
16,-103.72224140167236,0.3732305931881789
17,-96.8885760307312,0.32568273872596454
18,-77.97838497161865,0.2841922614059825
19,320.0,0.24898341299766052
20,330.0,0.21726407567434192
21,219.93378734588623,0.1895856354859659
22,320.0,0.16609769155956508
23,330.0,0.14493761248533418
24,330.0,0.12647322979450032
25,-24.582269310951233,0.11036112421315765
26,320.0,0.09668838001748732
27,330.0,0.08437072678872092
28,320.0,0.07391795754402854
29,310.0,0.06502027287178645
30,186.07588005065918,0.05719362418534656
31,320.0,0.05010785192011339
32,164.13961720466614,0.04389994269136202
33,320.0,0.03846113721612731
34,2.420607566833496,0.033831476407641135
35,300.0,0.02987861360661807
36,320.0,0.02617692387051571
37,300.0,0.023118417426215097
38,330.0,0.020173237777921436
39,320.0,0.017673956244659686
40,320.0,0.015484313067484705
41,320.0,0.013565946857219586
42,310.0,0.011932980776629009
43,320.0,0.010454592487147925
44,310.0,0.009963666213135667
45,320.0,0.009963666213135667
46,320.0,0.009963666213135667
47,320.0,0.009963666213135667
48,158.47453600168228,0.009963666213135667
49,175.35247445106506,0.009963666213135667
50,264.2403715252876,0.009963666213135667
51,320.0,0.009963666213135667
52,320.0,0.009963666213135667
53,192.89247798919678,0.009963666213135667
54,198.6901267170906,0.009963666213135667
55,320.0,0.009963666213135667
56,320.0,0.009963666213135667
57,330.0,0.009963666213135667
58,320.0,0.009963666213135667
59,320.0,0.009963666213135667
60,320.0,0.009963666213135667
61,310.0,0.009963666213135667
62,330.0,0.009963666213135667
63,310.0,0.009963666213135667
64,320.0,0.009963666213135667
65,320.0,0.009963666213135667
66,320.0,0.009963666213135667
67,320.0,0.009963666213135667
68,320.0,0.009963666213135667
69,320.0,0.009963666213135667
70,330.0,0.009963666213135667
71,330.0,0.009963666213135667
72,320.0,0.009963666213135667
73,320.0,0.009963666213135667
74,330.0,0.009963666213135667
75,330.0,0.009963666213135667
76,330.0,0.009963666213135667
77,310.0,0.009963666213135667
78,330.0,0.009963666213135667
79,330.0,0.009963666213135667
80,330.0,0.009963666213135667
81,320.0,0.009963666213135667
82,320.0,0.009963666213135667
83,287.05659914016724,0.009963666213135667
84,330.0,0.009963666213135667
85,330.0,0.009963666213135667
86,320.0,0.009963666213135667
87,320.0,0.009963666213135667
88,330.0,0.009963666213135667
89,320.0,0.009963666213135667
90,330.0,0.009963666213135667
91,330.0,0.009963666213135667
92,330.0,0.009963666213135667
93,330.0,0.009963666213135667
94,330.0,0.009963666213135667
95,330.0,0.009963666213135667
96,330.0,0.009963666213135667
97,330.0,0.009963666213135667
98,330.0,0.009963666213135667
99,330.0,0.009963666213135667
100,330.0,0.009963666213135667
101,330.0,0.009963666213135667
102,330.0,0.009963666213135667
103,330.0,0.009963666213135667
104,330.0,0.009963666213135667
105,330.0,0.009963666213135667
106,320.0,0.009963666213135667
107,330.0,0.009963666213135667
108,320.0,0.009963666213135667
109,330.0,0.009963666213135667
110,320.0,0.009963666213135667
111,330.0,0.009963666213135667
112,330.0,0.009963666213135667
113,330.0,0.009963666213135667
114,330.0,0.009963666213135667
115,330.0,0.009963666213135667
116,330.0,0.009963666213135667
117,330.0,0.009963666213135667
118,330.0,0.009963666213135667
119,320.0,0.009963666213135667
120,272.6563128232956,0.009963666213135667
121,330.0,0.009963666213135667
122,330.0,0.009963666213135667
123,320.0,0.009963666213135667
124,320.0,0.009963666213135667
125,330.0,0.009963666213135667
126,330.0,0.009963666213135667
127,262.5860288143158,0.009963666213135667
128,14.89687705039978,0.009963666213135667
129,320.0,0.009963666213135667
130,330.0,0.009963666213135667
131,320.0,0.009963666213135667
132,330.0,0.009963666213135667
133,310.0,0.009963666213135667
134,330.0,0.009963666213135667
135,320.0,0.009963666213135667
136,330.0,0.009963666213135667
137,-39.40546798706055,0.009963666213135667
138,310.0,0.009963666213135667
139,180.50929641723633,0.009963666213135667
140,320.0,0.009963666213135667
