episode,total_reward,epsilon
1,-626.9245956018567,2.9170013068155742
2,-241.97447955608368,2.525066423136362
3,-304.0114679634571,2.1857927956196765
4,-177.5730555653572,1.9149928561271814
5,-245.4725842475891,1.67774257759802
6,-264.55889469385147,1.4640059189193728
7,-239.8122918009758,1.2774983237890298
8,-251.37050899863243,1.1102919314796604
9,-336.38212440907955,0.9688458653423423
10,-208.11890628933907,0.8420376975106517
11,-254.13119226694107,0.7347659823199619
12,-265.90567484498024,0.6411601883985593
13,-337.39372113347054,0.5594793404687918
14,-306.1323790550232,0.49016491512624794
15,-320.2051035165787,0.4260092872332886
16,-331.17168897390366,0.3717376708154262
17,-343.7302405536175,0.32308248773997644
18,-318.4025991410017,0.28192327039091714
19,-331.1508219614625,0.24600754731057406
20,-272.7462140619755,0.21466732153698134
21,-310.5759254395962,0.18731969583715696
22,-343.7712824642658,0.16345603139451373
23,-230.28158643841743,0.1426324876294427
24,-336.0642186552286,0.1244617672030789
25,-277.4441485106945,0.10860591266947624
26,-297.1388855278492,0.09477002080103927
27,-255.27519196271896,0.08336232246241562
28,-332.5449819788337,0.07245137805340146
29,-338.1732558310032,0.06296852135092008
30,-299.5223907455802,0.05494662244033202
31,-232.20958634465933,0.04756387015139772
32,-259.28326177597046,0.04150445268430367
33,-283.406183809042,0.03607210911962953
34,-251.24789664149284,0.03135078219765447
35,-315.53827629983425,0.027466704100599357
36,-302.5672277510166,0.0239675728049139
37,-265.1233265697956,0.0209982075117537
38,-214.97747725248337,0.01847060210530559
39,-153.85007083415985,0.01637801277487418
40,-274.7850189357996,0.014348925261487134
41,-234.04889512062073,0.012621710162419576
42,-187.91922783851624,0.011102404153690243
43,-246.36059235036373,0.009963666213135667
44,-198.4541434198618,0.009963666213135667
45,-212.38397508859634,0.009963666213135667
46,-259.81070981919765,0.009963666213135667
47,-287.81386467814445,0.009963666213135667
48,-214.5051228106022,0.009963666213135667
49,-221.44948522001505,0.009963666213135667
50,-247.43470986932516,0.009963666213135667
51,-255.3401547074318,0.009963666213135667
52,-249.37409314513206,0.009963666213135667
53,-247.44972275197506,0.009963666213135667
54,-313.2320132404566,0.009963666213135667
55,-190.3502796292305,0.009963666213135667
56,-250.9875006377697,0.009963666213135667
57,-334.43071588128805,0.009963666213135667
