episode,total_reward,epsilon
1,-659.5154396519065,2.976048
2,-294.53086441755295,2.5865255715528117
3,-321.9168154001236,2.2479860984421616
4,-236.6518161892891,1.9616030478761073
5,-300.9848732203245,1.7048570602918658
6,-290.70128437131643,1.4876661416986376
7,-216.5357712507248,1.2981443434193989
8,-278.09851521998644,1.132766747267382
9,-291.3117481097579,0.9845036633857339
10,-249.00794608145952,0.8625325721600375
11,-225.30654364824295,0.7526499045585976
12,-279.5872969329357,0.6567657815094767
13,-249.80310156941414,0.5730968530644006
14,-311.7204062342644,0.5000869598252357
15,-275.04667860269547,0.4381307127678529
16,-254.48055195063353,0.383850283833736
17,-297.0663086473942,0.33494952981166665
18,-238.22439539432526,0.2922785060897648
19,-326.39778941869736,0.2550435737888569
20,-177.52638792991638,0.22524433466247176
21,-265.437648832798,0.19654924632181775
22,-181.51448208093643,0.17289013459248345
23,-182.0945917069912,0.15147061208315943
24,-149.05466485023499,0.13484945471752433
