episode,total_reward,epsilon
1,-706.6226696074009,2.7911896519856625
2,-349.3491179049015,2.416159106397091
3,-245.53265434503555,2.0999181846651225
4,-356.11103370785713,1.8177684346737286
5,-330.99877750873566,1.5735289623310331
6,-324.7387895360589,1.3675763625614172
7,-255.4985671043396,1.1933534477205385
8,-268.85399800539017,1.0371604249763067
9,-246.84819296002388,0.905030975138099
10,-299.4159588813782,0.7834289692911882
11,-310.9766148030758,0.6781656835900004
12,-174.208602309227,0.5989289434816724
13,-290.6007155999541,0.5226281611834857
14,-198.93253028392792,0.45422355530378217
15,-231.2603703737259,0.393193052541789
16,-251.1170797944069,0.3403627459692924
17,-176.84538146853447,0.3005948321725356
18,-225.415797367692,0.262300438323028
19,-193.48859402537346,0.22888457345454927
20,-150.88939717411995,0.2045869833082178
21,-169.16715186834335,0.1778094519757591
22,-168.17488187551498,0.15766489145017384
23,-158.70864963531494,0.14036402406878112
24,-205.9989776611328,0.12199236624542244
25,-152.77897438406944,0.10860591266947624
26,-180.34043794870377,0.09477002080103927
27,-174.54739233851433,0.08336232246241562
28,-141.81647789478302,0.07511256701949494
29,-218.94058871269226,0.06528139846564905
30,-162.81147220730782,0.058351352284914754
31,-231.75677692890167,0.05071398875946176
32,-210.76660054922104,0.04425326072499035
33,-302.96616619825363,0.03846113721612731
34,-178.81673061847687,0.03410376083414092
35,-156.3885661959648,0.03024004455449626
36,-209.3937694132328,0.026599976702781185
37,-210.6836061477661,0.023211262476119574
38,-310.89603421092033,0.020173237777921436
39,-156.18254607915878,0.01810413356197444
40,-211.7067530453205,0.01579775052832201
41,-250.86168697476387,0.013730049284997025
42,-192.89785480499268,0.012077329795291438
43,-149.47175496816635,0.010838596862486309
44,-182.58297502994537,0.009963666213135667
45,-245.41936948895454,0.009963666213135667
46,-199.08295693993568,0.009963666213135667
47,-186.49493938684464,0.009963666213135667
48,-169.3739876449108,0.009963666213135667
49,-212.85908862948418,0.009963666213135667
50,-249.71943366527557,0.009963666213135667
51,-207.5795098543167,0.009963666213135667
52,-172.29427307844162,0.009963666213135667
53,-161.8039757013321,0.009963666213135667
54,-280.6132672429085,0.009963666213135667
55,-233.31063616275787,0.009963666213135667
56,-162.69431805610657,0.009963666213135667
57,-179.20879769325256,0.009963666213135667
58,-156.04675167798996,0.009963666213135667
59,-152.47269690036774,0.009963666213135667
60,-151.69619888067245,0.009963666213135667
61,-314.2031562924385,0.009963666213135667
62,-214.29389557242393,0.009963666213135667
63,-309.2619059160352,0.009963666213135667
64,-257.31499691307545,0.009963666213135667
65,-154.92263835668564,0.009963666213135667
66,-229.39468517899513,0.009963666213135667
67,-180.72477754950523,0.009963666213135667
68,-173.93378749489784,0.009963666213135667
